"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_a",2.32610955822582,0.00368452841433919,0.147607365965809,2.03206631548699,2.2294745293327,2.32727332389848,2.42698767248261,2.61157889842354,1604.91575577309,1.0068905629163
"b",5.85299725333471,0.0698985814608717,2.50922351596726,0.161734053523582,4.35640628273722,6.00988239080126,7.54963628713827,10.3996269790975,1288.67075774898,1.00729943471013
"log_b",1.50841587437481,0.0505551422136432,1.22243281148921,-1.821803192851,1.47164746345681,1.79340517888971,2.02149938821046,2.34176992400812,584.68146148393,1.01443989698473
"sigma_e",0.826260811519418,0.0014196394077189,0.0782414864824866,0.688175703828289,0.771552483871235,0.820660809784817,0.874071263655063,0.993861231304538,3037.51263354583,1.00229102049988
