"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_a",0.990178680502314,0.00439621238198527,0.194447303984051,0.69043255371119,0.849500290272992,0.957020961639145,1.1041861119359,1.4406112555662,1956.34985191448,1.00255795117776
"b",0.0891850386591263,0.00231947574771781,0.0978003189835487,2.53020719898366e-05,0.00694041031156509,0.053713704689026,0.146726229100574,0.337926183776984,1777.87355760723,1.00281562871354
"log_b",-3.83283493499012,0.0694503215072574,2.61469110953007,-10.5846251965318,-4.97039444972455,-2.92408710608454,-1.91918684705077,-1.0849278442979,1417.3994479497,1.00312471852285
"sigma_e",0.654260743537244,0.00115707063491871,0.0716485182284253,0.531172746091542,0.603817218723696,0.647494964454061,0.697913646936443,0.812321858185516,3834.37586665583,1.00154172624516
