"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_a",1.65820257014364,0.00582174186961793,0.307718315028205,1.04222337100015,1.45951212423584,1.65922330634181,1.85881394406577,2.26418381993898,2793.83530260272,1.00239088034053
"b",3.93248788084908,0.0135911737791879,0.733169134513752,2.47272636857365,3.45314642558805,3.93770561603248,4.42328846868644,5.35274694250436,2910.00956116282,1.00307353794846
"log_b",1.35061951543748,0.003777674784726,0.198101673512253,0.905321332645685,1.23928582283378,1.37059822272846,1.48688341656425,1.67760987622474,2749.96492184175,1.00303216653985
"sigma_e",1.0494036962406,0.0022928004741478,0.14482027855275,0.809038547814485,0.947502626869835,1.0342330415427,1.13395182352258,1.37766435434707,3989.57130206225,1.00245849330002
